cluster	gene	probability
1	ENSDARG00000060641	0.7511
1	ENSDARG00000060656	0.7032
1	ENSDARG00000060682	0.7401
1	ENSDARG00000060748	0.3234
1	ENSDARG00000060796	0.4470
1	ENSDARG00000060813	0.8059
1	ENSDARG00000060861	0.4657
1	ENSDARG00000060862	0.8026
1	ENSDARG00000060875	0.6403
1	ENSDARG00000060927	0.7747
1	ENSDARG00000061066	0.5778
1	ENSDARG00000061081	0.5307
1	ENSDARG00000061093	0.7137
1	ENSDARG00000061121	0.7297
1	ENSDARG00000061195	0.7090
1	ENSDARG00000061242	0.7719
1	ENSDARG00000061338	0.8147
1	ENSDARG00000061352	0.7475
1	ENSDARG00000061379	0.7699
1	ENSDARG00000061409	0.7976
1	ENSDARG00000061481	0.1279
1	ENSDARG00000061665	0.6727
1	ENSDARG00000061769	0.6321
1	ENSDARG00000061804	0.8099
1	ENSDARG00000061889	0.4794
1	ENSDARG00000062003	0.4040
1	ENSDARG00000062195	0.7575
1	ENSDARG00000062204	0.4671
1	ENSDARG00000062314	0.0718
1	ENSDARG00000062325	0.4664
1	ENSDARG00000062341	0.7062
1	ENSDARG00000062359	0.7488
1	ENSDARG00000062377	0.7841
1	ENSDARG00000062382	0.7373
1	ENSDARG00000062420	0.6465
1	ENSDARG00000062449	0.7188
1	ENSDARG00000062477	0.8121
1	ENSDARG00000062479	0.7812
1	ENSDARG00000062501	0.3015
1	ENSDARG00000062594	0.1119
1	ENSDARG00000062631	0.1048
1	ENSDARG00000062661	0.4418
1	ENSDARG00000062687	0.7516
1	ENSDARG00000062688	0.1659
1	ENSDARG00000062745	0.5176
1	ENSDARG00000062756	0.5878
1	ENSDARG00000062904	0.7773
1	ENSDARG00000062965	0.8072
1	ENSDARG00000062971	0.7646
1	ENSDARG00000062997	0.2091
1	ENSDARG00000063195	0.8049
1	ENSDARG00000063310	0.7553
1	ENSDARG00000063330	0.3817
1	ENSDARG00000063372	0.8081
1	ENSDARG00000063544	0.7881
1	ENSDARG00000063910	0.5575
1	ENSDARG00000063922	0.1556
1	ENSDARG00000067718	0.1436
1	ENSDARG00000067848	0.7917
1	ENSDARG00000068100	0.7323
1	ENSDARG00000068124	0.4058
1	ENSDARG00000068214	0.6985
1	ENSDARG00000068233	0.6006
1	ENSDARG00000068247	0.7761
1	ENSDARG00000068369	0.7958
1	ENSDARG00000068621	0.8079
1	ENSDARG00000068888	0.6945
1	ENSDARG00000068934	0.3919
1	ENSDARG00000068965	0.7915
1	ENSDARG00000068967	0.7593
1	ENSDARG00000069009	0.8145
1	ENSDARG00000069048	0.5203
1	ENSDARG00000069095	0.4970
1	ENSDARG00000069264	0.4575
1	ENSDARG00000069324	0.3847
1	ENSDARG00000069404	0.8146
1	ENSDARG00000069559	0.5830
1	ENSDARG00000069654	0.7843
1	ENSDARG00000069765	0.4646
1	ENSDARG00000069843	0.7899
1	ENSDARG00000069951	0.7631
1	ENSDARG00000069953	0.8058
1	ENSDARG00000069956	0.6682
1	ENSDARG00000070037	0.7316
1	ENSDARG00000070047	0.6738
1	ENSDARG00000070116	0.7550
1	ENSDARG00000070231	0.6249
1	ENSDARG00000070590	0.8022
1	ENSDARG00000070597	0.1942
1	ENSDARG00000070606	0.7485
1	ENSDARG00000070626	0.7943
1	ENSDARG00000070919	0.7925
1	ENSDARG00000070951	0.7459
1	ENSDARG00000071113	0.7790
1	ENSDARG00000071139	0.7868
1	ENSDARG00000071205	0.7928
1	ENSDARG00000071235	0.7357
1	ENSDARG00000071378	0.3875
1	ENSDARG00000071394	0.6624
1	ENSDARG00000071396	0.3041
1	ENSDARG00000071493	0.7963
1	ENSDARG00000071498	0.7868
1	ENSDARG00000071506	0.3193
1	ENSDARG00000071549	0.1589
1	ENSDARG00000071579	0.2572
1	ENSDARG00000071596	0.7689
1	ENSDARG00000071709	0.7754
1	ENSDARG00000071735	0.0488
1	ENSDARG00000071904	0.7739
1	ENSDARG00000073704	0.8076
1	ENSDARG00000073757	0.4693
1	ENSDARG00000073845	0.6051
1	ENSDARG00000073911	0.8123
1	ENSDARG00000073931	0.7543
1	ENSDARG00000073935	0.4870
1	ENSDARG00000073985	0.6252
1	ENSDARG00000073996	0.6988
1	ENSDARG00000074004	0.3860
1	ENSDARG00000074036	0.7396
1	ENSDARG00000074064	0.7960
1	ENSDARG00000074086	0.1800
